WKT,name,description
"POINT (106.6646175 10.7869375)",BH+CMT8,
"POINT (106.6694226 10.7808753)",THT+HBK,
"POINT (106.6715014 10.7678246)",LTT+SVH,
"POINT (106.6722463 10.7646464)",NGT+SVH,
"POINT (106.6731193 10.7607854)",SVH+NCT,
"POINT (106.6732615 10.7601767)",SVH+HV,
"POINT (106.6786427 10.7663809)",LTT+NDC,Nguyen Dinh Chieu
"POINT (106.6981354 10.7748571)",LTT+NTT,Ly Tu Trong + Nguyen Trung Truc
"POINT (106.6574749 10.7728391)",DHBK,
"POINT (106.6970421 10.7757631)",ND+NTT,
"LINESTRING (106.6560496 10.7779309, 106.6574749 10.7728391, 106.6581284 10.7705307, 106.6599147 10.7638529, 106.6615095 10.7583902, 106.6624214 10.7553358)",LTK,
"LINESTRING (106.6624214 10.7553358, 106.6615095 10.7583902, 106.6599147 10.7638529, 106.6581284 10.7705307, 106.6574749 10.7728391, 106.6560496 10.7779309)",LTK,
"LINESTRING (106.6560496 10.7779309, 106.6588405 10.7807262, 106.6606725 10.7826287, 106.6617643 10.7838342, 106.6646175 10.7869375)",BH,
"LINESTRING (106.6646175 10.7869375, 106.6617643 10.7838342, 106.6606725 10.7826287, 106.6588405 10.7807262, 106.6560496 10.7779309)",BH,
"LINESTRING (106.6588405 10.7807262, 106.6635404 10.776448, 106.6670984 10.7677552)",TT,
"LINESTRING (106.6670984 10.7677552, 106.6635404 10.776448, 106.6588405 10.7807262)",TT,
"LINESTRING (106.6606725 10.7826287, 106.661464 10.7810543, 106.6645563 10.7771317)",DN,
"LINESTRING (106.6645563 10.7771317, 106.661464 10.7810543, 106.6606725 10.7826287)",DN,
"LINESTRING (106.6694226 10.7808753, 106.6655306 10.7839432)",HBK,
"LINESTRING (106.6655306 10.7839432, 106.6694226 10.7808753)",HBK,
"POINT (106.6679002 10.7797753)",THT+NGT,
"LINESTRING (106.6617643 10.7838342, 106.6645037 10.7822557, 106.6679002 10.7797753)",NGT,
"LINESTRING (106.6679002 10.7797753, 106.6645037 10.7822557, 106.6617643 10.7838342)",NGT,
"LINESTRING (106.666461 10.7859847, 106.6655306 10.7839432, 106.6645037 10.7822557, 106.661464 10.7810543)",TS,
"LINESTRING (106.661464 10.7810543, 106.6645037 10.7822557, 106.6655306 10.7839432, 106.666461 10.7859847)",TS,
"LINESTRING (106.6581284 10.7705307, 106.6603422 10.7722869, 106.6635404 10.776448, 106.6645563 10.7771317, 106.6655325 10.7779067, 106.6679002 10.7797753, 106.6694226 10.7808753, 106.6720807 10.7829302)",THT,
"LINESTRING (106.6720807 10.7829302, 106.6694226 10.7808753, 106.6679002 10.7797753, 106.6655325 10.7779067, 106.6645563 10.7771317, 106.6635404 10.776448, 106.6603422 10.7722869, 106.6581284 10.7705307)",THT,
"LINESTRING (106.6655325 10.7779067, 106.6672861 10.7756988, 106.6707573 10.7696797, 106.6715014 10.7678246, 106.6722463 10.7646464, 106.6731193 10.7607854, 106.6732615 10.7601767)",SVH,
"LINESTRING (106.6732615 10.7601767, 106.6731193 10.7607854, 106.6722463 10.7646464, 106.6715014 10.7678246, 106.6707573 10.7696797, 106.6672861 10.7756988, 106.6655325 10.7779067)",SVH,
"LINESTRING (106.6646175 10.7869375, 106.666461 10.7859847, 106.6720807 10.7829302, 106.6816339 10.7779328, 106.6827446 10.7772709, 106.6836848 10.776714, 106.6852412 10.7758679, 106.6868079 10.7750351, 106.6882053 10.7742829, 106.6893919 10.773613, 106.6922423 10.7720958, 106.6933329 10.7715117)",CMT8,
"LINESTRING (106.6933329 10.7715117, 106.6922423 10.7720958, 106.6893919 10.773613, 106.6868079 10.7750351, 106.6852412 10.7758679, 106.6836848 10.776714, 106.6827446 10.7772709, 106.6816339 10.7779328, 106.6720807 10.7829302, 106.666461 10.7859847, 106.6646175 10.7869375)",CMT8,
"LINESTRING (106.6615095 10.7583902, 106.6688898 10.759877, 106.6731193 10.7607854, 106.674217 10.7609453)",NCT,
